DEPTH_ft,GR,RT,RHOB,NPHI,Hydrocarbon,Zone
3498,98.45,4.57,2.64,0.33,0,shale
3500,103.61,0.2,2.601,0.312,0,shale
3502,122.76,2.2,2.477,0.417,0,shale
3504,142.43,4.32,2.589,0.33,0,shale
3506,124.02,4.32,2.462,0.343,0,shale
3508,146.34,0.31,2.619,0.289,0,shale
3510,48.93,126.32,2.044,0.17,1,oil
3512,48.51,115.9,2.154,0.115,1,oil
3514,40.75,63.16,2.103,0.091,1,oil
3516,38.25,79.28,2.208,0.097,1,oil
3518,49.83,133.44,2.153,0.168,1,oil
3520,52.49,111.03,2.153,0.065,1,oil
3522,23.65,112.57,2.199,0.073,1,oil
3524,43.75,142.05,2.146,0.121,1,oil
3526,18.34,167.07,2.19,0.127,1,oil
3528,26.87,58.44,2.176,0.165,1,oil
3530,58.38,86.37,2.089,0.122,1,oil
3532,21.12,98.74,2.089,0.127,1,oil
3534,42.38,167.9,2.139,0.156,1,oil
3536,29.77,58.28,2.222,0.164,1,oil
3538,42.56,155.49,2.177,0.175,1,oil
3540,20.9,106.9,2.155,0.114,1,oil
3542,22.59,68.64,2.221,0.067,1,oil
3544,53.51,81.68,2.28,0.178,1,oil
3546,32.65,113.62,2.11,0.069,1,oil
3548,32.68,101.11,2.048,0.068,1,oil
3550,18.22,85.04,2.036,0.068,1,oil
3552,40.96,38.28,2.154,0.148,1,oil
3554,29.18,53.14,2.01,0.137,1,oil
3556,28.63,38.84,2.267,0.091,1,oil
3558,32.33,167.97,2.095,0.131,1,oil
3560,54.01,86.1,2.089,0.136,1,oil
3562,33.92,115.87,2.159,0.092,1,oil
3564,37.56,114.31,2.053,0.134,1,oil
3566,42.48,84.22,1.996,0.131,1,oil
3568,25.7,76.62,2.145,0.152,1,oil
3570,52.26,154.74,2.07,0.159,1,oil
3572,58.21,82.89,2.186,0.159,1,oil
3574,23.58,178.31,2.223,0.154,1,oil
3576,42.45,47.13,2.007,0.17,1,oil
3578,41.85,133.98,2.088,0.131,1,oil
3580,28.87,100.86,2.015,0.093,1,oil
3582,42.68,70.31,2.121,0.16,1,oil
3584,36.93,61.56,2.045,0.135,1,oil
3586,45.21,63.19,2.073,0.152,1,oil
3588,46.88,75.61,2.189,0.159,1,oil
3590,20.81,88.46,2.21,0.092,1,oil
3592,40.67,116.76,2.137,0.139,1,oil
3594,40.55,169.24,2.272,0.079,1,oil
3596,41.81,81.8,2.034,0.136,1,oil
3598,59.82,61.29,2.241,0.095,1,oil
3600,27.75,113.37,2.085,0.16,1,oil
3602,54.2,110.52,2.126,0.156,1,oil
3604,27.82,45.13,2.104,0.098,1,oil
3606,31.52,162.18,2.047,0.139,1,oil
3608,53.31,147.01,2.086,0.08,1,oil
3610,38.25,155.02,2.22,0.135,1,oil
3612,42.98,105.56,2.27,0.163,1,oil
3614,31.69,112.09,2.124,0.154,1,oil
3616,46.36,165.78,2.221,0.096,1,oil
3618,19.9,54.51,2.108,0.179,1,oil
3620,42.43,149.98,2.142,0.092,1,oil
3622,26.92,157.12,2.274,0.126,1,oil
3624,35.1,161.48,2.187,0.137,1,oil
3626,41.93,133.14,2.058,0.111,1,oil
3628,55.6,74.67,2.196,0.115,1,oil
3630,40.7,108.7,2.06,0.063,1,oil
3632,55.28,89.72,2.157,0.138,1,oil
3634,40.18,131.73,2.266,0.116,1,oil
3636,29.66,118.51,2.002,0.142,1,oil
3638,53.65,174.75,2.053,0.155,1,oil
3640,28.08,51.05,2.114,0.066,1,oil
3642,46.71,78.33,2.087,0.109,1,oil
3644,51.24,117.37,2.107,0.102,1,oil
3646,50.39,151.26,2.143,0.074,1,oil
3648,33.95,93.11,2.293,0.103,1,oil
3650,41.85,175.44,2.16,0.148,1,oil
3652,20.53,128.46,2.053,0.145,1,oil
3654,37.75,129.05,2.221,0.052,1,oil
3656,39.5,99.7,2.012,0.122,1,oil
3658,56.97,56.58,2.076,0.144,1,oil
3660,48.28,96.09,2.28,0.127,1,oil
3662,55.21,117.27,2.08,0.105,1,oil
3664,54.78,172.34,2.223,0.164,1,oil
3666,59.59,76.15,2.018,0.133,1,oil
3668,54.57,98.91,2.241,0.127,1,oil
3670,23.69,175.74,2.07,0.159,1,oil
3672,55.23,52.18,2.154,0.14,1,oil
3674,26.11,162.37,2.273,0.092,1,oil
3676,30.06,148.87,2.003,0.082,1,oil
3678,24.65,168.76,2.202,0.144,1,oil
3680,35.58,116.21,2.166,0.129,1,oil
3682,50.44,49.55,2.198,0.12,1,oil
3684,24.66,88.71,2.052,0.109,1,oil
3686,27.33,74.01,2.254,0.083,1,oil
3688,26.77,90.32,2.05,0.119,1,oil
3690,31.3,142.8,2.198,0.068,1,oil
3692,45.11,62.84,2.009,0.103,1,oil
3694,49.66,157.08,2.269,0.181,1,oil
3696,57.45,166.11,2.108,0.101,1,oil
3698,26.02,140.73,2.132,0.129,1,oil
3700,44.6,50.05,2.231,0.12,1,oil
3702,37.32,182.33,2.269,0.144,1,oil
3704,33.84,103.13,2.178,0.121,1,oil
3706,44.07,66.83,2.131,0.098,1,oil
3708,34.2,93.04,2.204,0.128,1,oil
3710,36.96,91.59,2.195,0.193,1,oil
3712,29.79,47.89,2.013,0.084,1,oil
3714,33.19,143.54,2.18,0.146,1,oil
3716,31.77,171.51,2.123,0.086,1,oil
3718,43.58,67.36,2.178,0.153,1,oil
3720,20.26,109.04,2.159,0.12,1,oil
3722,24.73,133.37,2.012,0.061,1,oil
3724,47.48,53.19,2.292,0.077,1,oil
3726,27.93,89.61,2.046,0.076,1,oil
3728,22.54,92.0,2.157,0.11,1,oil
3730,37.97,165.32,2.165,0.141,1,oil
3732,44.9,61.73,2.189,0.152,1,oil
3734,25.83,160.55,2.035,0.171,1,oil
3736,27.66,97.67,2.149,0.081,1,oil
3738,22.51,165.94,2.235,0.164,1,oil
3740,32.67,48.89,2.192,0.151,1,oil
3742,32.13,145.73,2.277,0.075,1,oil
3744,55.68,116.29,2.232,0.077,1,oil
3746,40.78,101.98,2.207,0.083,1,oil
3748,38.33,163.8,2.085,0.182,1,oil
3750,31.52,136.98,2.027,0.117,1,oil
3752,46.35,76.47,2.102,0.134,1,oil
3754,47.25,142.15,2.09,0.106,1,oil
3756,42.08,52.77,2.226,0.091,1,oil
3758,51.89,45.86,2.196,0.105,1,oil
3760,56.62,115.79,2.245,0.092,1,oil
3762,39.23,59.59,2.257,0.069,1,oil
3764,50.1,118.36,2.011,0.158,1,oil
3766,43.21,155.27,1.995,0.16,1,oil
3768,49.74,86.73,2.099,0.087,1,oil
3770,51.34,58.54,2.045,0.074,1,oil
3772,41.68,156.84,2.246,0.094,1,oil
3774,58.55,98.52,2.088,0.157,1,oil
3776,36.1,78.68,2.212,0.151,1,oil
3778,45.26,47.28,2.012,0.089,1,oil
3780,22.74,82.82,2.267,0.084,1,oil
3782,21.51,83.87,2.145,0.137,1,oil
3784,40.84,169.68,2.204,0.087,1,oil
3786,41.43,112.4,2.072,0.132,1,oil
3788,36.32,173.05,2.174,0.161,1,oil
3790,30.15,139.47,2.035,0.12,1,oil
3792,52.7,121.58,2.157,0.156,1,oil
3794,45.5,77.77,2.025,0.15,1,oil
3796,39.23,155.28,2.247,0.137,1,oil
3798,19.42,69.8,2.123,0.141,1,oil
3800,32.49,56.16,2.087,0.073,1,oil
3802,56.34,75.9,2.204,0.083,1,oil
3804,40.85,139.82,2.05,0.079,1,oil
3806,25.51,53.22,2.194,0.136,1,oil
3808,52.53,120.48,2.106,0.101,1,oil
3810,24.31,126.73,2.067,0.08,1,oil
3812,54.98,58.8,2.238,0.134,1,oil
3814,48.63,139.79,2.16,0.143,1,oil
3816,30.02,164.89,2.243,0.164,1,oil
3818,25.01,66.3,2.098,0.112,1,oil
3820,37.57,41.63,2.146,0.16,1,oil
3822,20.32,49.73,2.162,0.149,1,oil
3824,37.66,51.61,2.18,0.137,1,oil
3826,32.14,98.6,2.088,0.158,1,oil
3828,21.72,47.13,2.122,0.107,1,oil
3830,58.72,116.56,2.283,0.157,1,oil
3832,47.85,80.66,2.064,0.137,1,oil
3834,28.75,67.65,2.206,0.177,1,oil
3836,29.12,100.8,2.059,0.143,1,oil
3838,24.22,53.71,2.017,0.132,1,oil
3840,33.35,96.88,2.126,0.104,1,oil
3842,30.17,54.08,2.148,0.084,1,oil
3844,50.53,99.98,2.058,0.069,1,oil
3846,28.04,162.95,2.137,0.182,1,oil
3848,25.0,127.21,2.285,0.099,1,oil
3850,50.5,69.62,2.041,0.046,1,oil
3852,28.58,185.6,2.09,0.078,1,oil
3854,38.34,156.98,2.19,0.166,1,oil
3856,46.78,160.13,2.062,0.103,1,oil
3858,34.09,135.82,2.226,0.093,1,oil
3860,34.83,138.02,2.153,0.18,1,oil
3862,45.51,38.08,2.027,0.08,1,oil
3864,42.59,127.81,2.126,0.083,1,oil
3866,46.63,111.63,2.072,0.091,1,oil
3868,29.48,47.34,2.046,0.103,1,oil
3870,33.83,60.09,2.073,0.15,1,oil
3872,45.24,123.69,2.069,0.075,1,oil
3874,46.24,49.62,1.996,0.142,1,oil
3876,29.1,138.28,2.272,0.105,1,oil
3878,56.46,147.6,2.278,0.096,1,oil
3880,61.18,80.66,2.07,0.186,1,oil
3882,22.84,47.35,1.99,0.107,1,oil
3884,34.8,94.18,2.129,0.062,1,oil
3886,25.16,102.71,2.255,0.087,1,oil
3888,48.84,176.57,2.051,0.158,1,oil
3890,32.49,212.64,2.0,0.1,1,gas
3892,24.31,208.3,1.933,0.098,1,gas
3894,47.8,263.43,2.11,0.075,1,gas
3896,16.39,233.32,1.883,0.067,1,gas
3898,26.67,85.6,2.066,0.089,1,gas
3900,52.4,154.05,1.915,0.119,1,gas
3902,47.94,243.84,2.111,0.075,1,gas
3904,27.1,186.98,1.926,0.086,1,gas
3906,23.33,163.93,2.096,0.049,1,gas
3908,38.84,203.5,2.085,0.1,1,gas
3910,17.53,204.6,2.121,0.046,1,gas
3912,33.22,202.21,2.024,0.098,1,gas
3914,38.68,87.73,2.104,0.034,1,gas
3916,26.11,95.39,2.1,0.05,1,gas
3918,49.75,211.17,1.994,0.039,1,gas
3920,41.43,272.16,2.034,0.115,1,gas
3922,31.12,209.58,2.109,0.109,1,gas
3924,43.39,233.07,1.967,0.091,1,gas
3926,21.49,185.52,1.867,0.112,1,gas
3928,28.21,205.17,1.989,0.118,1,gas
3930,44.94,222.36,2.123,0.096,1,gas
3932,51.75,240.62,1.952,0.058,1,gas
3934,47.67,248.94,1.917,0.066,1,gas
3936,17.72,130.34,2.076,0.109,1,gas
3938,45.14,135.78,1.914,0.06,1,gas
3940,35.66,145.64,1.995,0.094,1,gas
3942,34.9,205.91,1.995,0.117,1,gas
3944,38.63,258.14,1.941,0.058,1,gas
3946,91.56,10.64,2.482,0.428,0,shale
3948,135.19,1.83,2.491,0.417,0,shale
3950,94.05,3.59,2.523,0.312,0,shale
3952,94.38,0.87,2.697,0.432,0,shale
3954,143.23,3.84,2.523,0.345,0,shale
3956,115.41,4.17,2.569,0.318,0,shale
3958,126.53,4.23,2.565,0.308,0,shale
3960,97.37,3.38,2.56,0.293,0,shale
3962,95.44,7.79,2.528,0.355,0,shale
3964,135.3,9.79,2.626,0.428,0,shale
3966,144.89,6.84,2.578,0.435,0,shale
3968,113.12,3.55,2.592,0.441,0,shale
3970,109.7,0.2,2.666,0.315,0,shale
3972,122.08,7.39,2.562,0.295,0,shale
3974,119.24,1.9,2.589,0.378,0,shale
3976,117.72,8.47,2.566,0.461,0,shale
3978,109.33,1.52,2.645,0.392,0,shale
3980,146.71,0.2,2.668,0.34,0,shale
3982,113.71,5.55,2.707,0.373,0,shale
3984,140.61,0.56,2.477,0.418,0,shale
3986,104.18,2.69,2.492,0.404,0,shale
3988,106.5,3.76,2.642,0.29,0,shale
3990,98.7,0.2,2.608,0.371,0,shale
3992,90.02,5.58,2.703,0.33,0,shale
3994,118.13,1.42,2.647,0.29,0,shale
3996,123.86,4.3,2.508,0.331,0,shale
3998,145.83,11.73,2.526,0.427,0,shale
4000,114.87,7.35,2.573,0.41,0,shale
4002,136.95,0.2,2.658,0.3,0,shale
4004,37.23,182.18,1.989,0.053,1,gas
4006,37.5,197.16,2.029,0.096,1,gas
4008,34.93,288.19,2.069,0.1,1,gas
4010,33.15,179.73,2.076,0.08,1,gas
4012,22.41,132.79,2.151,0.08,1,gas
4014,23.94,299.98,2.076,0.053,1,gas
4016,45.18,201.46,2.136,0.061,1,gas
4018,46.94,124.79,2.133,0.048,1,gas
4020,27.08,140.33,1.921,0.029,1,gas
4022,33.45,196.45,1.912,0.107,1,gas
4024,27.1,102.69,1.909,0.039,1,gas
4026,30.0,243.71,1.877,0.034,1,gas
4028,39.71,295.53,1.964,0.1,1,gas
4030,23.71,253.82,1.897,0.055,1,gas
4032,38.17,122.22,1.915,0.098,1,gas
4034,18.61,209.24,1.89,0.114,1,gas
4036,40.36,89.58,2.078,0.038,1,gas
4038,22.6,280.12,2.113,0.102,1,gas
4040,37.42,172.31,1.991,0.099,1,gas
4042,17.16,122.36,2.002,0.088,1,gas
4044,19.0,184.0,1.953,0.091,1,gas
4046,27.88,173.42,2.151,0.114,1,gas
4048,35.1,149.37,1.924,0.061,1,gas
4050,22.94,203.16,2.022,0.047,1,gas
4052,45.93,191.44,2.005,0.026,1,gas
4054,37.0,86.3,2.146,0.051,1,gas
4056,28.4,111.62,1.954,0.024,1,gas
4058,34.55,113.49,2.088,0.1,1,gas
4060,16.4,274.93,1.861,0.081,1,gas
4062,46.72,116.41,2.067,0.062,1,gas
4064,39.48,205.18,2.133,0.077,1,gas
4066,27.75,97.43,1.921,0.123,1,gas
4068,18.12,224.06,2.03,0.079,1,gas
4070,41.94,135.5,2.163,0.083,1,gas
4072,51.49,279.37,2.073,0.088,1,gas
4074,17.76,97.73,1.892,0.114,1,gas
4076,98.12,6.14,2.599,0.296,0,shale
4078,113.0,12.03,2.512,0.43,0,shale
4080,145.36,4.22,2.687,0.372,0,shale
4082,118.07,8.81,2.511,0.3,0,shale
4084,110.6,3.92,2.549,0.296,0,shale
4086,141.07,3.77,2.502,0.347,0,shale
4088,90.43,8.59,2.66,0.293,0,shale
4090,129.79,9.78,2.614,0.312,0,shale
4092,106.0,2.5,2.601,0.385,0,shale
4094,107.31,9.94,2.498,0.409,0,shale
4096,127.73,3.68,2.52,0.352,0,shale
4098,91.0,1.24,2.522,0.282,0,shale
4100,126.21,7.93,2.582,0.326,0,shale
4102,123.61,3.13,2.564,0.393,0,shale
4104,152.54,7.6,2.567,0.383,0,shale
4106,126.06,4.35,2.528,0.347,0,shale
4108,96.4,1.85,2.603,0.349,0,shale
4110,136.28,9.29,2.505,0.285,0,shale
4112,111.69,9.85,2.561,0.37,0,shale
4114,103.28,11.88,2.515,0.439,0,shale
4116,129.1,4.57,2.616,0.291,0,shale
4118,130.02,0.2,2.584,0.292,0,shale
4120,129.63,3.02,2.537,0.389,0,shale
4122,148.35,0.2,2.454,0.399,0,shale
4124,149.52,1.59,2.674,0.315,0,shale
4126,90.59,1.92,2.531,0.313,0,shale
4128,133.88,6.83,2.478,0.296,0,shale
4130,97.28,4.7,2.649,0.379,0,shale
4132,144.09,8.03,2.487,0.39,0,shale
4134,146.49,1.75,2.658,0.279,0,shale
4136,112.98,10.1,2.493,0.429,0,shale
4138,148.36,1.69,2.601,0.445,0,shale
4140,121.11,3.64,2.646,0.406,0,shale
4142,128.0,0.57,2.509,0.383,0,shale
4144,97.73,7.52,2.542,0.34,0,shale
4146,119.16,4.34,2.511,0.29,0,shale
4148,145.33,3.1,2.551,0.352,0,shale
4150,142.16,3.16,2.541,0.403,0,shale
4152,128.31,4.76,2.51,0.299,0,shale
4154,88.21,0.2,2.501,0.37,0,shale
4156,133.81,3.01,2.613,0.327,0,shale
4158,104.85,2.54,2.464,0.349,0,shale
4160,100.02,3.05,2.497,0.418,0,shale
4162,146.41,0.2,2.598,0.4,0,shale
4164,139.68,0.2,2.528,0.385,0,shale
4166,101.92,5.47,2.514,0.364,0,shale
4168,96.71,1.82,2.479,0.435,0,shale
4170,115.94,9.99,2.441,0.306,0,shale
4172,137.82,0.2,2.56,0.283,0,shale
4174,40.07,92.33,1.863,0.041,1,gas
4176,37.91,118.53,2.123,0.093,1,gas
4178,22.87,241.77,1.857,0.079,1,gas
4180,39.99,211.06,2.025,0.0,1,gas
4182,36.91,250.76,2.041,0.024,1,gas
4184,37.06,155.56,1.971,0.052,1,gas
4186,15.19,241.56,1.949,0.105,1,gas
4188,42.89,224.24,1.99,0.1,1,gas
4190,36.98,92.43,1.889,0.068,1,gas
4192,44.0,242.15,1.881,0.079,1,gas
4194,22.66,155.5,1.93,0.02,1,gas
4196,20.35,248.91,2.049,0.052,1,gas
4198,27.91,250.53,2.129,0.112,1,gas
4200,22.95,111.8,1.876,0.052,1,gas
4202,23.1,188.23,2.136,0.026,1,gas
4204,41.92,100.76,2.161,0.081,1,gas
4206,39.31,122.46,1.873,0.068,1,gas
4208,21.3,232.8,2.063,0.074,1,gas
4210,27.84,149.05,1.99,0.074,1,gas
4212,35.26,82.43,1.961,0.115,1,gas
4214,44.95,95.99,1.985,0.062,1,gas
4216,42.49,290.88,2.036,0.1,1,gas
4218,38.74,140.67,2.119,0.063,1,gas
4220,48.48,185.24,2.042,0.068,1,gas
4222,36.92,115.89,1.925,0.086,1,gas
4224,43.94,246.29,1.965,0.075,1,gas
4226,44.58,118.13,1.931,0.084,1,gas
4228,16.07,258.14,1.971,0.056,1,gas
4230,21.85,125.68,2.023,0.057,1,gas
4232,24.68,90.57,1.915,0.079,1,gas
4234,38.56,177.05,1.922,0.091,1,gas
4236,32.85,91.02,1.935,0.041,1,gas
4238,45.1,144.34,2.002,0.03,1,gas
4240,31.83,186.61,2.07,0.073,1,gas
4242,46.92,208.12,1.888,0.037,1,gas
4244,19.37,256.49,2.129,0.084,1,gas
4246,43.64,233.74,2.109,0.052,1,gas
4248,37.4,270.77,2.069,0.103,1,gas
4250,15.71,228.84,1.879,0.016,1,gas
4252,25.77,96.51,2.117,0.086,1,gas
4254,23.7,177.84,1.974,0.106,1,gas
4256,26.65,275.53,2.135,0.084,1,gas
4258,30.51,103.95,1.876,0.106,1,gas
4260,25.62,102.32,2.019,0.046,1,gas
4262,20.32,96.16,2.244,0.172,1,oil
4264,21.97,117.63,2.139,0.088,1,oil
4266,31.15,145.22,2.197,0.075,1,oil
4268,36.17,136.23,2.081,0.12,1,oil
4270,57.79,110.13,2.173,0.161,1,oil
4272,54.95,65.77,2.177,0.056,1,oil
4274,46.36,153.48,2.079,0.173,1,oil
4276,24.8,84.87,2.163,0.082,1,oil
4278,25.45,89.75,2.007,0.063,1,oil
4280,48.3,162.99,2.18,0.105,1,oil
4282,29.84,97.77,2.181,0.162,1,oil
4284,39.91,52.82,2.206,0.133,1,oil
4286,50.67,111.33,2.227,0.13,1,oil
4288,29.35,126.77,2.075,0.072,1,oil
4290,56.35,92.32,2.023,0.081,1,oil
4292,42.08,69.82,2.287,0.144,1,oil
4294,41.7,148.23,2.213,0.161,1,oil
4296,55.52,173.6,2.007,0.059,1,oil
4298,56.07,48.08,2.104,0.159,1,oil
4300,29.05,60.55,2.225,0.08,1,oil
4302,20.19,83.21,2.056,0.116,1,oil
4304,43.84,69.15,2.061,0.089,1,oil
4306,39.0,94.49,2.188,0.103,1,oil
4308,36.39,144.48,2.046,0.124,1,oil
4310,37.59,117.11,2.096,0.069,1,oil
4312,22.68,74.02,2.255,0.056,1,oil
4314,38.13,128.49,2.161,0.142,1,oil
4316,42.36,73.92,2.09,0.087,1,oil
4318,54.66,83.69,2.117,0.106,1,oil
4320,41.05,174.87,2.124,0.087,1,oil
4322,55.52,151.77,2.178,0.126,1,oil
4324,18.45,61.27,2.13,0.17,1,oil
4326,18.26,54.19,2.103,0.114,1,oil
4328,30.18,90.91,2.045,0.093,1,oil
4330,35.3,176.75,2.092,0.139,1,oil
4332,41.63,69.65,2.227,0.076,1,oil
4334,30.51,106.61,2.247,0.168,1,oil
4336,59.09,40.83,2.216,0.099,1,oil
4338,25.69,53.31,2.078,0.158,1,oil
4340,42.29,155.21,2.255,0.075,1,oil
4342,35.38,140.56,2.252,0.159,1,oil
4344,24.99,164.31,2.016,0.149,1,oil
4346,52.5,78.77,2.127,0.066,1,oil
4348,42.85,144.93,2.043,0.131,1,oil
4350,24.2,140.12,2.131,0.183,1,oil
4352,61.69,84.6,2.173,0.073,1,oil
4354,28.65,159.4,2.238,0.143,1,oil
4356,51.94,102.07,2.068,0.11,1,oil
4358,55.17,142.68,2.146,0.176,1,oil
4360,41.35,163.44,2.16,0.058,1,oil
4362,60.3,73.12,2.253,0.079,1,oil
4364,49.81,136.23,2.115,0.157,1,oil
4366,36.58,99.25,2.013,0.084,1,oil
4368,43.21,73.66,2.122,0.149,1,oil
4370,41.33,160.33,2.259,0.079,1,oil
4372,29.5,174.05,2.088,0.067,1,oil
4374,37.75,132.96,2.196,0.153,1,oil
4376,24.25,172.5,2.284,0.105,1,oil
4378,23.45,114.21,2.272,0.166,1,oil
4380,33.16,71.67,2.236,0.139,1,oil
4382,50.49,118.39,2.169,0.098,1,oil
4384,29.13,63.17,2.091,0.144,1,oil
4386,60.84,78.35,2.192,0.064,1,oil
4388,47.89,129.58,2.055,0.132,1,oil
4390,60.89,118.1,2.148,0.06,1,oil
4392,61.77,53.92,2.092,0.088,1,oil
4394,27.7,89.22,2.094,0.125,1,oil
4396,47.4,125.63,2.044,0.136,1,oil
4398,35.4,60.51,2.139,0.135,1,oil
4400,50.73,86.32,2.106,0.054,1,oil
4402,21.32,84.56,2.242,0.149,1,oil
4404,45.95,86.94,2.121,0.174,1,oil
4406,24.85,127.34,2.161,0.122,1,oil
4408,44.09,162.73,2.271,0.068,1,oil
4410,20.82,146.66,2.21,0.139,1,oil
4412,27.33,289.84,2.02,0.066,1,gas
4414,20.77,213.59,2.125,0.106,1,gas
4416,33.09,255.61,2.11,0.013,1,gas
4418,20.68,108.86,1.992,0.089,1,gas
4420,18.33,94.57,2.08,0.061,1,gas
4422,25.39,283.1,1.873,0.122,1,gas
4424,25.95,149.66,1.875,0.116,1,gas
4426,10.44,189.33,2.1,0.1,1,gas
4428,19.1,212.98,2.005,0.023,1,gas
4430,45.99,190.84,1.986,0.09,1,gas
4432,31.77,119.48,2.036,0.03,1,gas
4434,45.55,83.22,2.106,0.062,1,gas
4436,22.33,257.72,1.993,0.051,1,gas
4438,20.77,129.39,1.876,0.057,1,gas
4440,36.43,184.01,2.132,0.023,1,gas
4442,30.73,263.83,2.016,0.123,1,gas
4444,45.05,187.52,1.935,0.031,1,gas
4446,44.93,292.97,2.078,0.054,1,gas
4448,15.94,225.56,2.057,0.038,1,gas
4450,18.92,181.82,1.854,0.108,1,gas
4452,32.68,234.9,1.976,0.075,1,gas
4454,18.18,163.11,1.88,0.108,1,gas
4456,37.8,118.06,1.945,0.049,1,gas
4458,46.68,221.24,1.956,0.065,1,gas
4460,42.3,227.28,2.088,0.067,1,gas
4462,27.4,114.07,2.105,0.08,1,gas
4464,45.92,131.78,1.925,0.078,1,gas
4466,38.73,150.2,2.118,0.085,1,gas
4468,39.3,233.68,2.059,0.031,1,gas
4470,31.55,103.45,1.999,0.046,1,gas
4472,17.69,123.37,2.1,0.059,1,gas
4474,27.32,297.57,1.99,0.081,1,gas
4476,12.91,214.46,2.086,0.08,1,gas
4478,22.57,266.5,2.079,0.054,1,gas
4480,39.18,225.79,2.148,0.063,1,gas
4482,44.47,119.3,2.072,0.035,1,gas
4484,30.04,227.43,2.074,0.025,1,gas
4486,20.54,185.29,2.046,0.025,1,gas
4488,46.22,106.76,2.077,0.056,1,gas
4490,21.45,180.94,1.873,0.111,1,gas
4492,17.0,268.29,1.946,0.041,1,gas
4494,27.82,260.69,2.115,0.1,1,gas
4496,15.59,214.46,1.857,0.054,1,gas
4498,38.4,218.86,2.133,0.059,1,gas
4500,18.05,287.76,1.852,0.086,1,gas
4502,42.48,133.27,2.121,0.049,1,gas
4504,32.85,133.03,1.948,0.026,1,gas
4506,22.61,290.24,2.013,0.012,1,gas
4508,31.21,111.47,1.856,0.026,1,gas
4510,17.6,100.14,1.951,0.11,1,gas
4512,23.17,153.46,1.908,0.043,1,gas
4514,39.99,143.43,1.828,0.09,1,gas
4516,34.73,232.06,1.863,0.071,1,gas
4518,53.93,80.44,2.081,0.063,1,gas
4520,37.43,106.88,1.971,0.032,1,gas
4522,25.41,247.84,1.953,0.057,1,gas
4524,21.59,127.12,2.158,0.115,1,gas
4526,45.35,101.39,2.089,0.042,1,gas
4528,36.01,266.92,1.863,0.109,1,gas
4530,31.1,134.37,2.085,0.097,1,gas
4532,34.39,87.45,2.033,0.027,1,gas
4534,48.86,192.22,2.004,0.108,1,gas
4536,27.66,157.87,2.028,0.0,1,gas
4538,15.7,232.03,2.122,0.033,1,gas
4540,43.2,137.46,2.049,0.102,1,gas
4542,31.25,126.86,1.952,0.058,1,gas
4544,30.28,291.59,2.05,0.057,1,gas
4546,34.23,196.21,2.115,0.088,1,gas
4548,16.77,238.7,1.997,0.12,1,gas
4550,14.51,102.89,1.863,0.034,1,gas
4552,43.9,197.61,2.051,0.091,1,gas
4554,25.26,161.04,1.856,0.085,1,gas
4556,44.12,150.61,2.121,0.079,1,gas
4558,108.75,2.38,2.664,0.289,0,shale
4560,114.48,8.3,2.572,0.387,0,shale
4562,101.44,2.42,2.453,0.395,0,shale
4564,98.81,3.9,2.55,0.354,0,shale
4566,91.88,2.83,2.59,0.388,0,shale
4568,122.67,10.28,2.645,0.352,0,shale
4570,103.34,0.2,2.493,0.404,0,shale
4572,109.88,7.54,2.412,0.402,0,shale
4574,106.36,1.07,2.642,0.379,0,shale
4576,138.66,6.67,2.57,0.372,0,shale
4578,131.85,6.74,2.601,0.327,0,shale
4580,112.24,7.38,2.534,0.412,0,shale
4582,127.52,1.65,2.514,0.361,0,shale
4584,94.12,10.22,2.524,0.34,0,shale
4586,101.47,9.71,2.551,0.364,0,shale
4588,144.59,7.24,2.449,0.431,0,shale
4590,111.4,0.2,2.649,0.394,0,shale
4592,130.17,8.75,2.591,0.413,0,shale
4594,106.68,2.8,2.524,0.422,0,shale
4596,130.68,7.34,2.581,0.353,0,shale
4598,138.14,2.11,2.505,0.426,0,shale
4600,126.99,8.51,2.66,0.333,0,shale
4602,95.08,9.1,2.605,0.272,0,shale
4604,101.26,8.66,2.59,0.304,0,shale
4606,123.45,9.01,2.602,0.368,0,shale
4608,141.88,6.71,2.469,0.307,0,shale
4610,149.02,0.46,2.474,0.327,0,shale
4612,148.64,14.16,2.58,0.45,0,shale
4614,95.93,1.02,2.461,0.427,0,shale
4616,135.6,12.57,2.525,0.381,0,shale
4618,137.45,4.31,2.5,0.292,0,shale
4620,119.58,9.19,2.687,0.434,0,shale
4622,109.6,0.2,2.654,0.374,0,shale
4624,141.98,5.83,2.639,0.334,0,shale
4626,133.07,4.16,2.601,0.313,0,shale
4628,141.42,11.41,2.626,0.458,0,shale
4630,110.08,2.56,2.629,0.38,0,shale
4632,93.05,7.51,2.538,0.348,0,shale
4634,128.43,2.35,2.569,0.305,0,shale
4636,118.96,5.68,2.544,0.451,0,shale
4638,93.93,1.01,2.616,0.441,0,shale
4640,126.63,7.44,2.666,0.393,0,shale
4642,140.84,0.2,2.677,0.287,0,shale
4644,143.02,8.15,2.553,0.347,0,shale
4646,110.42,0.2,2.599,0.319,0,shale
4648,125.82,0.29,2.467,0.376,0,shale
4650,146.08,0.35,2.491,0.341,0,shale
4652,124.43,2.29,2.548,0.314,0,shale
4654,104.37,3.42,2.662,0.391,0,shale
4656,112.02,3.85,2.62,0.325,0,shale
4658,130.85,1.85,2.483,0.291,0,shale
